,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
2045,278,445,135.11691609977325,137.50857142857143,27,20,196,2,167
2046,278,502,135.11691609977325,137.7407709750567,27,19,251,3,224
2047,278,676,135.11691609977325,136.34757369614513,27,17,402,1,398
2048,278,615,135.11691609977325,136.83519274376417,27,13,345,2,337
2049,278,670,135.11691609977325,137.7407709750567,27,15,408,3,392
2050,214,60,136.2314739229025,138.15873015873015,36,45,175,2,154
2051,214,72,136.2314739229025,138.7392290249433,36,46,178,3,142
2052,214,278,136.2314739229025,138.04263038548754,36,28,101,2,64
2053,214,445,136.2314739229025,137.50857142857143,36,20,237,1,231
2054,214,502,136.2314739229025,137.7407709750567,36,19,295,2,288
2055,214,427,136.2314739229025,138.85532879818595,36,20,241,3,213
2056,214,670,136.2314739229025,137.7407709750567,36,15,461,2,456
2057,214,619,136.2314739229025,138.8321088435374,36,14,420,3,405
2058,289,60,136.71909297052156,138.15873015873015,29,45,237,1,229
2059,289,72,136.71909297052156,138.7392290249433,29,46,234,2,217
2060,289,278,136.71909297052156,138.04263038548754,29,28,58,1,11
2061,289,205,136.71909297052156,139.48226757369613,29,33,146,3,84
2062,289,502,136.71909297052156,137.7407709750567,29,19,217,1,213
2063,289,427,136.71909297052156,138.85532879818595,29,20,166,2,138
2064,289,670,136.71909297052156,137.7407709750567,29,15,384,1,381
2065,289,619,136.71909297052156,138.8321088435374,29,14,342,2,330
2066,278,42,138.04263038548754,139.85378684807256,28,45,249,2,236
2067,278,205,138.04263038548754,139.48226757369613,28,33,96,1,73
2068,278,243,138.04263038548754,139.784126984127,28,31,83,2,35
2069,278,290,138.04263038548754,140.82902494331066,28,28,121,3,12
2070,278,427,138.04263038548754,140.20208616780045,28,20,176,2,149
2071,278,773,138.04263038548754,140.08598639455784,28,15,503,2,495
2072,278,636,138.04263038548754,140.9451247165533,28,16,379,3,358
2073,205,82,139.48226757369613,141.5720634920635,33,46,152,2,123
2074,205,82,139.48226757369613,142.12934240362813,33,45,168,3,123
2075,205,290,139.48226757369613,140.82902494331066,33,28,103,1,85
2076,205,388,139.48226757369613,141.68816326530612,33,23,206,2,183
2077,205,486,139.48226757369613,141.54884353741497,33,22,295,2,281
2078,205,489,139.48226757369613,141.87392290249434,33,20,302,2,284
2079,205,636,139.48226757369613,140.9451247165533,33,16,436,1,431
2080,205,633,139.48226757369613,142.15256235827664,33,11,443,3,428
2081,243,82,139.784126984127,141.5720634920635,31,46,178,2,161
2082,243,82,139.784126984127,142.12934240362813,31,45,190,2,161
2083,243,290,139.784126984127,140.82902494331066,31,28,65,1,47
2084,243,388,139.784126984127,141.68816326530612,31,23,167,2,145
2085,243,486,139.784126984127,141.54884353741497,31,22,255,2,243
2086,243,489,139.784126984127,141.87392290249434,31,20,262,2,246
2087,243,636,139.784126984127,140.9451247165533,31,16,396,1,393
2088,243,633,139.784126984127,142.15256235827664,31,11,403,2,390
2089,290,82,140.82902494331066,142.12934240362813,28,45,215,1,208
2090,290,82,140.82902494331066,143.03492063492064,28,45,229,2,208
2091,290,221,140.82902494331066,143.10458049886623,28,26,120,2,69
2092,290,489,140.82902494331066,141.87392290249434,28,20,204,1,199
2093,290,437,140.82902494331066,142.8956009070295,28,19,172,2,147
2094,290,633,140.82902494331066,142.15256235827664,28,11,348,1,343
2095,290,658,140.82902494331066,143.6154195011338,28,9,387,3,368
2096,388,82,141.68816326530612,143.03492063492064,23,45,311,1,306
2097,388,46,141.68816326530612,144.56743764172336,23,43,364,3,342
2098,388,221,141.68816326530612,143.10458049886623,23,26,178,1,167
2099,388,277,141.68816326530612,144.28879818594103,23,27,158,3,111
2100,388,437,141.68816326530612,142.8956009070295,23,19,71,1,49
2101,388,427,141.68816326530612,144.26557823129252,23,20,118,3,39
2102,388,658,141.68816326530612,143.6154195011338,23,9,282,2,270
2103,388,878,141.68816326530612,143.6154195011338,23,15,497,2,490
2104,221,46,143.10458049886623,144.56743764172336,26,43,186,1,175
2105,221,46,143.10458049886623,144.93895691609978,26,46,192,2,175
2106,221,277,143.10458049886623,144.28879818594103,26,27,76,1,56
2107,221,265,143.10458049886623,145.6587755102041,26,23,118,3,44
2108,221,427,143.10458049886623,144.26557823129252,26,20,212,1,206
2109,221,427,143.10458049886623,145.61233560090704,26,20,233,3,206
2110,221,622,143.10458049886623,145.42657596371882,26,10,413,2,401
2111,277,60,144.28879818594103,146.68045351473924,27,47,240,2,217
2112,277,60,144.28879818594103,146.70367346938775,27,45,241,2,217
2113,277,265,144.28879818594103,145.6587755102041,27,23,60,1,12
2114,277,271,144.28879818594103,146.14639455782313,27,24,80,2,6
2115,277,280,144.28879818594103,147.12163265306123,27,29,122,3,3
2116,277,427,144.28879818594103,145.61233560090704,27,20,160,1,150
2117,277,444,144.28879818594103,146.28571428571428,27,18,188,2,167
2118,277,596,144.28879818594103,146.8197732426304,27,21,337,3,319
2119,277,622,144.28879818594103,145.42657596371882,27,10,348,1,345
2120,265,60,145.6587755102041,146.68045351473924,23,47,210,1,205
2121,265,60,145.6587755102041,146.70367346938775,23,45,210,1,205
2122,265,73,145.6587755102041,148.259410430839,23,47,222,3,192
2123,265,280,145.6587755102041,147.12163265306123,23,29,65,1,15
2124,265,279,145.6587755102041,148.5380498866213,23,29,125,3,14
2125,265,596,145.6587755102041,146.8197732426304,23,21,335,1,331
2126,265,445,145.6587755102041,148.30585034013606,23,20,213,3,180
2127,265,615,145.6587755102041,147.6324716553288,23,13,360,2,350
2128,265,652,145.6587755102041,148.5380498866213,23,22,406,3,387
2129,271,73,146.14639455782313,148.259410430839,24,47,218,2,198
2130,271,279,146.14639455782313,148.5380498866213,24,29,103,2,8
2131,271,274,146.14639455782313,148.97922902494332,24,27,122,3,3
2132,271,445,146.14639455782313,148.30585034013606,24,20,197,2,174
2133,271,615,146.14639455782313,147.6324716553288,24,13,350,1,344
2134,271,652,146.14639455782313,148.5380498866213,24,22,395,2,381
2135,271,615,146.14639455782313,148.88634920634922,24,17,364,3,344
2136,280,73,147.12163265306123,148.259410430839,29,47,213,1,207
